filiere;hentad;niveaux;liveoù;Dep;uai;nom;anv;adresse;choml;cp-kp;commune;kumun;code_insee-kod_ebssa;telephone-pgz;telecopie-plr;courriel-posteler;autre_courriel-posteler_all;internet-kenrouedad;latitude-ledred;longitude-hedred
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291992H;Skol Diwan Brest I Kerango;Skol Diwan Brest I Kerango;71 rue Béranger;71 straed Béranger;29200;BREST;BREST;29019;02 98 05 08 49;02 98 05 35 88;ec.0291992H@ac-rennes.fr;diwan.kerango@laposte.net;http://brest.skoldiwan.org/;48.38202775873103;-4.506629316635379
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;Adskol Diwan Brest I Kerango;Skol Diwan Brest (II) ar Gwelmeur;Skol Diwan Brest (II) ar Gwelmeur;63 rue Georges Melou;63 straed Georges Melou;29200;BREST;BREST;29019;02 30 86 58 63;02 30 01 23 25;diwan.gwelmeur@laposte.net ;_;http://brest.skoldiwan.org/;48.393976;-4.462588
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290809X;Ecole publique Jacquard;Skol bublik Jacquard;11 rue Jacquard;11 straed Jacquard;29200;BREST;BREST;29019;02 29 61 38 52;_;ec.0290809X@ac-rennes.fr;ecole-jacquard@wanadoo.fr;_;48.403061504808996;-4.4772795200255375
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291115E;Ecole Aubrac;Skol Aubrac;44 bis rue de Kermenguy;44 bis st Kervengi;29200;BREST;BREST;29019;298373794;_;ec.0291115E@ac-rennes.fr;_;_;48.403396350970404;-4.502650607062386
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292031A;Ecole de Kerargaouyat;Skol Kerargaouiad;22 rue de Bruxelles;22 straed Brusel ;29240;BREST;BREST;29019;02 29 61 38 30 / 02 29 61 38 31;_;ec.0292031A@ac-rennes.fr;_;_;48.37599907564191;-4.527920657060426
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290844K;Ecole de Killiverzan (Queliverzan);Skol Killiverzan;15 rue Gaston Ramon;15 straed Gaston Ramon;29200;BREST;BREST;29019;02 29 61 38 90;_;ec.0290844K@ac-rennes.fr;_;_;48.390151736184976;-4.509970264836996
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290500L;Simone Veil;Simone Veil;1 place Fautras;1 plasenn Fautras;29200;BREST;BREST;29019;02 29 61 38 14 / 02 29 61 38 08;_;ec.0290500L@ac-rennes.fr;_;_;48.39130363055946;-4.490549159820239
Public;Publik;Ecole maternelle;Skol-vamm;29;0290863F;Ecole Kerisbian;Skol Kerisbihan;4 rue des Trois Frères Vienne;4 straed an Tri Breur Vienne;29200;BREST;BREST;29019;02 98 33 58 55;_;ec.0290863F@ac-rennes.fr ;_;_;48.403393941081674;-4.4833950741875555
Public;Publik;Collège;Skolaj;29;0291595B;Collège de l'Iroise;Skolaj an Hirwazh;7 place de Strasbourg;7 plasenn Strasbourg;29200;BREST;BREST;29019;02 98 41 09 00;02 98 41 09 01;ce.0290009c@ac-rennes.fr;_;http://www.college-lycee-iroise-brest.ac-rennes.fr/;48.40117266212533;-4.4639516314435195
Public;Publik;Collège;Skolaj;29;0290131k;Collège Saint-Pol Roux;Skolaj Saint-Pol Roux;40 rue de Bruxelles;40 straed Brusel;29200;BREST;BREST;29019;298450208;_;ce.0290131k@ac-rennes.fr;_;_;48.37654048511871;-4.528969699852913
Public;Publik;Lycée;Lise;29;0290009C;Lycée de l'Iroise;Lise an Hirwazh;7 place de Strasbourg;7 plasenn Strasbourg;29200;BREST;BREST;29019;02 98 41 09 00;02 98 41 09 01;ce.0290009c@ac-rennes.fr;_;http://www.college-lycee-iroise-brest.ac-rennes.fr/;48.40117266212533;-4.4639516314435195
Public;Publik;Ecole maternelle;Skol-vamm;29;0292069S;Ecole Jean Rostand;Skol Jean Rostand;58 rue Marcellin Duval;58 rue Marcellin Duval;29200;BREST;BREST;29019;298032309;_;ec.0292069S@ac-rennes.fr;_;_;48.41770929158347;-4.487740415763126
Catholique;Katolik;Lycée;Lise;29;0290335G;Lycée La Croix Rouge;Lise ar Groaz Ruz;2 Rue Mirabeau, CS 62925;2 Straed Mirabeau, CS 62925;29229;BREST CEDEX 02;BREST CEDEX 02;29019;02 98 47 81 00;02 98 47 81 35;contact@lacroixrouge-brest.fr;_;http://www.lacroixrouge-brest.fr/;48.40887605882624;-4.4885593746343675
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291152V;Ecole Yves de Kerguélen;Skol Youenn Gergelenn;17 rue Boissière;15 Straed ar Vuzid;29510;BRIEC;BRIEG;29020;02 98 57 90 89;_;ec.0291152V@ac-rennes.fr;_;_;48.099792555810964;-3.996780608709745
Public;Publik;Collège;Skolaj;29;0290019N;Collège Pierre Stéphan;Skolaj Pierre Stefan;17 rue de la Boissière, BP 15;17 Straed ar Vuzid, BP 15;29510;BRIEC;BRIEG;29020;02 98 57 90 65;02 98 57 74 39;ce.0290019n@ac-rennes.fr;_;http://www.college-pierrestephan-briec.ac-rennes.fr;48.099118820857036;-3.9961396531758613
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291332R;Ecole de l'Enfant Jésus;Skol ar Mabig Jezuz;Place de Verdun;Plasenn Verdun;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 00 23;_;ec.0291332R@ac-rennes.fr;enfant-jesus.ecole@wanadoo.fr;http://www.ecole-enfant-jesus-carhaix.fr/;48.27701289452127;-3.575689657280001
Catholique;Katolik;Collège;Skolaj;29;0290247L;Collège Saint Tremeur;Skolaj Sant Tremeur;1 rue Kazugell - BP 120;1 Straed Kazugell - BP 120;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 00 07;_;ce.0290247L@ac-rennes.fr;_;_;48.27421151380773;-3.5747293973660197
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292021P;Skol Diwan Karaez;Skol Diwan Karaez;Impasse du Lavoir;Hent-dall ar Poull-kannañ;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 33 66;02 98 99 36 45;ec.0292021P@ac-rennes.fr;skoldiwankaraez@wanadoo.fr;_;48.27601093570762;-3.5646898739787027
Diwan;Diwan;Lycée;Lise;29;0292137R;Lycée Diwan;Lise Diwan;Kerampuilh;Kerampuilh;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 99 36 73;02 98 99 36 45;ce.0292137R@ac-rennes.fr;lise.diwan@wanadoo.fr;_;48.273316423023736;-3.5596793993488527
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291137D;École de Kerwenn;Skol Kerwenn;Rue Jules Verne;Straed Jules Verne;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 11 72;_;ec.0291137D@ac-rennes.fr;_;_;48.27876311132354;-3.554239663680124
Public;Publik;Ecole maternelle;Skol-vamm;29;0291138E;Ecole publique Huella;Skol bublik Uhelañ;3 rue Louis Pasteur;3 straed Louis Pasteur;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 02 14;_;ec.0291138E@ac-rennes.fr;_;_;48.27623618559089;-3.5700199929393786
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0291985A;Ecole primaire République;Skol-gentañ ar Republik;Boulevard de la République;Boulouard ar Republik;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 00 02;_;ec.0291985A@ac-rennes.fr;_;_;48.27580773044713;-3.5766101834799677
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0291980V;Ecole élémentaire de Persivien;Skol-gentañ Persivien;Rue de Persivien;Straed Persivien;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;298933282;_;ec.0291980V@ac-rennes.fr;_;_;48.27353134677999;-3.550950351165704
Public;Publik;Collège;Skolaj;29;0291102R;Collège Beg Avel;Skolaj Beg Avel;Rue Beg Avel;Straed Beg Avel;29270;CARHAIX-PLOUGUER;KARAEZ-PLOUGÊR;29024;02 98 93 15 31;02 98 99 10 37;ce.0291102r@ac-rennes.fr;_;http://collegebegavel.free.fr;48.28088132453598;-3.5506594570516707
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292263C;Skol Diwan Kastellin;Skol Diwan Kastellin;23 Grand rue;23 Ru Vras;29150;CHATEAULIN;KASTELLIN;29026;02 98 27 40 94 / 07 81 73 77 61;_;skoldiwan.kastellin@free.fr;_;http://diwankastellin.net/;48.19577670820504;-4.090739324435997
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292061H;Ecole publique Paul Sérusier;Skol bublik Paul Sérusier;2 rue des Ecoles;2 straed ar Skolioù;29119;CHATEAUNEUF-DU-FAOU;KASTELL-NEVEZ -AR-FAOU;29027;02 98 81 80 72 / 02 98 81 73 95;_;ec.0292061H@ac-rennes.fr;_;_;48.1848077073706;-3.817849476563394
Public;Publik;Collège;Skolaj;29;0292006y;Collège de l’Aulne ;Skolaj ar Stêr-Aon;29 rue des Fontaines;29 straed ar Feunteunioù;29119;CHATEAUNEUF-DU-FAOU;KASTELL-NEVEZ -AR-FAOU;29027;298817794;02 98 73 22 40;ce.0292006y@ac-rennes.fr;_;https://www.collegedelaulne-chateauneufdufaou.ac-rennes.fr/;48.19083338315953;-3.8180095290560243
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291417H;Ecole Saint-Joseph;Skol Sant Jozef;7 rue de Pont Jegu;7 straed Pont Yegu;29233;CLEDER;KLEDER;29030;02 98 69 32 82;_;ec.0291417H@ac-rennes.fr;contact@ecole-st-joseph-cleder.fr;http://www.ecole-st-joseph-cleder.fr/;48.663114238598766;-4.101079452673309
Catholique;Katolik;Collège;Skolaj;29;0290253T;Collège Notre-Dame d'Espérance;Skolaj Itron-Varia an Esperañs;Rue de Plouescat;straed Ploueskad;29233;CLEDER;KLEDER;29030;02 98 69 41 70;02 98 69 49 55;ce.0290253T@ac-rennes.fr;_;http://nde-cleder.fr/;48.662968778718835;-4.109980089907303
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291155Y;Ecole publique Per Jakez Helias;Skol bublik Pêr-Jakez Heliaz;19 rue de Kermargar;19 Straed Kervargar;29233;CLEDER;KLEDER;29030;02 98 69 42 81;_;ec.0291155Y@ac-rennes.fr;_;_;48.66144583549181;-4.1049695511654125
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290378D;École primaire publique Saint-Maudet;Skol kentañ derez Sant Vaodez;Hameau de Saint Maudet;Kêrig Sant Vaodez;29360;CLOHARS-CARNOET;KLOAR-KARNOED;29031;02 98 39 91 35;_;ec.0290378D@ac-rennes.fr;_;_;47.77720604939937;-3.5538006357174887
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292020N;Skol Diwan Kommanna;Skol Diwan Kommanna;Cité du Douric;Kêrig an Dourig;29450;COMMANA;KOMMANNA;29038;02 98 78 92 31;02 98 78 92 31;ec.0292020N@ac-rennes.fr ;skol.diwan.kommanna@orange.fr;_;48.41451986360129;-3.9589393765915664
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291519U;Ecole N.D. du Sacré Coeur;Skol ar Galon Sakr ;2 rue de l'Alma;2 straed Alma;29900;CONCARNEAU;KONK-KERNE;29039;02 98 97 50 10;02 98 97 02 76;ec.0291519U@ac-rennes.fr;eco29.sc.concarneau@eco.ecbretagne.org ;_;47.87459076026021;-3.92002995416463
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290367S;Ecole publique de Kerandon;Skol bublik Kerandon;2 rue des Charmes ;2 rue des Charmes ;29900;CONCARNEAU;KONK-KERNE;29039;02 98 97 13 72 / 02 98 97 13 58;_;ec.0290367S@ac-rennes.fr;_;_;47.88332585651416;-3.918980365044669
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290443Z;École Leurgadoret;Skol Leurgadored;Rue de Leuhan;Straed Leuc'han;29370;CORAY;KORE;29041;02 98 59 11 57;_;ec.0290443Z@ac-rennes.fr;_;_;48.062020646030035;-3.833759847397008
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292058E;Skol Diwan Kraozon;Skol Diwan Kraozon;31 rue du Menhir;31 straed ar Maen-hir;29160;CROZON;KRAOZON;29042;02 98 27 23 40;_;ec.0292058E@ac-rennes.fr;skol-diwan.kraon@wanadoo.fr;http://skol-diwan-kraon.jimdo.com/;48.243967887072;-4.486079559092807
Public;Publik;Ecole maternelle;Skol-vamm;29;0290642R;Ecole Laënnec - Jean Jaurès;Skol Laeneg - Jean Jaurès;69 rue Alsace Lorraine;69 straed Elzas-Loren;29160;CROZON;KRAOZON;29042;298270205;_;ec.0290642R@ac-rennes.fr;_;_;48.24532426713808;-4.494830105937281
Public;Publik;Ecole maternelle;Skol-vamm;29;0291650L;Ecole publique Josette Cornec;Skol bublik Josette Korneg;Vern Deredec;Vern Deredec;29460;DAOULAS;DAOULAZ;29043;02 98 25 86 87;_;ec.0291650L@ac-rennes.fr;_;_;48.358612009872886;-4.254110367952363
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291726U;Ecole François Guillou;Skol François Gwilhou;15 rue Pierre Belbeoc'h;15 straed Pierre Belbeoc'h;29100;DOUARNENEZ;DOUARNENEZ;29046;02 98 92 09 85 / 02 98 92 09 84;_;ec.0291726U@ac-rennes.fr;ecole.fguillou.dz@orange.fr;_;48.074436033828995;-4.330889362452945
Public;Publik;Collège;Skolaj;29;0291591X;Collège Jean-Marie Le Bris;Skolaj Yann-Vari ar Brizh;2 place du Lycée, BP 226;2 plasenn al Lise, BP 226;29100;DOUARNENEZ CEDEX;DOUARNENEZ CEDEX;29046;02 98 92 48 13;02 98 92 42 19;ce.0290034e@ac-rennes.fr;_;http://www.lycee-jeanmarielebris.fr;48.084287367061044;-4.3239699621463075
Public;Publik;Ecole maternelle;Skol-vamm;29;0291158B;Ecole du Bourg;Skol ar Bourk;9 rue Pasteur;9 straed Pasteur;29370;ELLIANT;ELIANT;29049;02 98 94 13 65;02 98 94 12 32;ec.0291158B@ac-rennes.fr;_;_;47.99514543364753;-3.8858403897612384
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0291710B;Ecole de la Vallée du Jet;Skol Stankenn ar Stêr-Jed;2 rue Pasteur;2 straed Pasteur;29370;ELLIANT;ELIANT;29049;02 98 94 18 65;_;ec.0291710B@ac-rennes.fr;_;_;47.99442247522107;-3.8871997146282466
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291492P;Ecole Privée Saint Joseph-Sainte Marie;Skol brevez Sant Jozef-Intron Varia;rue de la Papeterie;Straed ar Veilh-baper;29500;ERGUE-GABERIC;AN ERGE-VRAS;29051;02 98 59 50 78;02 98 59 62 69;ec.0291492P@ac-rennes.fr;ecoleprivee.egaberic@wanadoo.fr;http://eco-st-joseph-ergue-gaberic.ddec29.org/;48.02054846819211;-4.022239718756578
Public;Publik;Ecole maternelle;Skol-vamm;29;0290786X;Ecole publique de Lestonan;Skol bublik Lestonan;1 rue du Menez;1 straed ar Menez;29500;ERGUE-GABERIC;AN ERGE-VRAS;29051;02 98 59 62 13;_;ec.0290786X@ac-rennes.fr;maternelle.lestonan@laposte.net;_;48.01889606366955;-4.022480659268507
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0290785W;Ecole publique de Lestonan;Skol bublik Lestonan;Hameau de Lestonan;Lestonan;29500;ERGUE-GABERIC;AN ERGE-VRAS;29051;02 98 59 50 77;_;ec.0290785W@ac-rennes.fr;ecole.primaire.publique.lestonan@wanadoo.fr;_;48.018678007866484;-4.021610025398312
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291440H;Ecole Privée;Skol brevez ;21 place de l'Eglise;21 plasenn an Iliz;29170;FOUESNANT;FOUENANT;29058;02 98 56 03 20;02 98 51 65 85;ec.0291440H@ac-rennes.fr;espe.admin@wanadoo.fr;http://www.notre-dame-fouesnant.fr/lecole;47.89544938866544;-4.009070666661152
Catholique;Katolik;Collège;Skolaj;29;0290262C;Collège Saint Joseph;Skolaj Sant Jozeb;40 Descente du Cap - BP 4;40 Diskenn ar C'hab - BP 4;29170;FOUESNANT;FOUENANT;29058;298560293;_;ce.0290262C@ac-rennes.fr;_;_;47.893496138846515;-4.0056403128995495
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290875U;Ecole publique Isabelle Autissier;Skol bublik Isabelle Autissier;14 rue de la Gare;14 straed ar Gar;29850;GOUESNOU;GOUENOU;29061;02 29 61 39 00;_;ec.0290875U@ac-rennes.fr;chateaudeau.directprim@wanadoo.fr;_;48.45235762077959;-4.465516563916103
Public;Publik;Ecole maternelle;Skol-vamm;29;0291679T;Ecole ar Roudour;Skol ar Roudour;Rue Morice du Parc;Rue Morice du Parc;29650;GUERLESQUIN;GWERLISKIN;29067;298728108;_;ec.0291679T@ac-rennes.fr;_;_;48.51312693941862;-3.5886097709193723
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291250B;Ecole Sainte-Thérèse;Skol Santez Tereza;2 rue des Ecoles;2 straed ar Skolioù;29820;GUILERS;GWILER-LEON;29069;02 98 07 63 80;_;ec.0291250B@ac-rennes.fr;_;http://ecolestethereseguilers.fr/;48.42112914525137;-4.559679344381396
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290895R;Ecole Louis Pergaud;Skol Louis Pergaud;27 rue Sant-Thudon;27 straed Sant Tudon;29490;GUIPAVAS;GWIPAVAZ;29075;02 98 84 73 10;_;ec.0290895R@ac-rennes.fr;_;_;48.436494914971085;-4.401119442484592
Public;Publik;Collège;Skolaj;29;0291968G;Collège du Vizag;Skolaj ar Vizag;Rue Anne de Bretagne, BP 22;Straed Anna Vreizh, BP 22;29490;GUIPAVAS;GWIPAVAZ;29075;02 98 84 81 81;02 98 84 80 38;ce.0291968g@ac-rennes.fr;_;http://www.collegevizacguipavas.ac-rennes.fr;48.43568136547724;-4.406380558615464
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291398M;Ecole Sainte-Jeanne d'Arc;Skol Santez-Janed Ark;10 rue du Chanoine Rannou;10 Straed ar Chaloni Rannou;29880;GUISSENY;GWISENI;29077;02 98 25 61 23;_;ec.0291398M@ac-rennes.fr;esja.guisseny@orange.fr ;http://www.eco-ste-j-arc.guisseny.ddec29.org/;48.635766833003174;-4.405513612932529
Diwan;Diwan;Collège;Skolaj;29;0292257W;Skolaj Diwan Gwiseni;Skolaj Diwan Gwiseni;10 rue Chanoine Rannou;10 straed ar Chaloni Rannou;29880;GUISSENY;GWISENI;29077;02 98 25 76 73;02 98 25 76 73;skolaj.gwiseni@diwan.bzh;_;http://skolajdiwanpennarbed.puzl.com/;48.63752451931769;-4.408114540288415
Public;Publik;Ecole maternelle;Skol-vamm;29;0291739H;École du Bourg;Skol ar Bourk;Rue des écoles;Straed ar Skolioù;29800;LA ROCHE-MAURICE;AR ROC'H-MORVAN;29237;02 98 20 40 67;_;ec.0291739H@ac-rennes.fr;_;_;48.470877614298296;-4.205522574568815
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0291557K;École élémentaire publique;Skol-gentañ publik;Allée du Pontois;Alez ar Pountez;29800;LA ROCHE-MAURICE;AR ROC'H-MORVAN;29237;02 98 20 47 27;_;ec.0291557K@ac-rennes.fr;_;_;48.47107016198797;-4.205089888632854
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291322E;Ecole Saint-Julien;Skol Sant Julian;13 rue de Brest;13 Straed Brest;29800;LANDERNEAU;LANDERNE;29103;02 98 85 01 44;02 98 85 16 23;ec.0291322E@ac-rennes.fr;stjulien.landerneau@wanadoo.fr;http://www.ecole-saint-julien.com/;48.45035080562295;-4.254320406998493
Catholique;Katolik;collège;Skolaj;29;0291874E;Collège Saint-Sébastien;Skolaj Sant Sebastian;4 rue Hervé de Guebriant, BP 30819;4 straed Herve Gwebriant, BP 30819;29800;LANDERNEAU;LANDERNE;29103;02 98 85 12 55;02 98 85 45 67;groupescolaire@les-2-rives.fr;_;http://www.les-2-rives.fr;48.452061097975324;-4.258430629599198
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292029Y;Skol Diwan Landerne;Skol Diwan Landerne;Allée Tremaria;Alez Tremaria;29800;LANDERNEAU;LANDERNE;29103;02 98 21 68 00;_;ec.0292029Y@ac-rennes.fr;skol-diwan-landerne@wanadoo.fr;_;48.458175856121585;-4.26523009385967
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290926Z;Ecole Jules Ferry;Skol Jules Ferry;Place Saint-Thomas;Plasenn Sant Tomaz;29800;LANDERNEAU;LANDERNE;29103;02 98 85 13 52;_;ec.0290926Z@ac-rennes.fr;_;_;48.448403618952476;-4.2491197921618635
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290927A;Ecole publique du Tourouz;Skol bublik an Tourouz;8 rue Aristide Briand;8 straed Aristide Briand;29800;LANDERNEAU;LANDERNE;29103;02 98 85 14 15;_;ec.0290927A@ac-rennes.fr;_;_;48.454423190734914;-4.263430134689353
Public;Publik;Collège;Skolaj;29;0290045S;Collège de Mescoat;Skolaj Meskoad;Meskoad;Meskoad;29207;LANDERNEAU;LANDERNE;29103;02 98 85 33 24;02 98 21 41 34;ce.0290045s@ac-rennes.fr;_;http://www.college-mescoat-landerneau.ac-rennes.fr/;48.45724985449473;-4.267319689484298
Public;Publik;Lycée;Lise;29;0290044R;Lycée de l'Elorn;Lise an Elorn;Place Saint-Houardon, BP 759;10 Plasenn Sant Houardon - BP 759;29800;LANDERNEAU;LANDERNE;29103;02 98 85 12 71;02 98 21 73 52;ce.0290044r@ac-rennes.fr;_;http://www.lycee-elorn-landerneau.ac-rennes.fr;48.45219364307643;-4.24988470628385
Catholique;Katolik;Ecole maternelle;Skol-vamm;29;0291234J;Ecole maternelle Sainte-Marie Lannouchen;Skol-vamm Itron-Varia Lannouchen;Rue de Verdun;Straed Verdun;29400;LANDIVISIAU;LANDIVIZIO;29105;02 98 68 14 46;_;ec.0291234J@ac-rennes.fr;ecole.stemarielannouchen@orange.fr ;http://ecolesaintemarielandivisiau.fr/;48.50508007075036;-4.069129531906106
Catholique;Katolik;Ecole élémentaire;Skol-gentañ;29;0291388B;Ecole primaire Notre-Dame des Victoires;Skol kentañ derez Itron-Varia an Trec’h;23 rue Mangin BP 16;23 Straed Mangin - BP 16;29400;LANDIVISIAU;LANDIVIZIO;29105;02 98 68 12 87;029 8 68 04 30;ec.0291388B@ac-rennes.fr;ecolendv.landivisiau@wanadoo.fr;http://ecolendvlandivisiau.fr/;48.511908981270274;-4.071449569844821
Catholique;Katolik;Collège;Skolaj;29;0291640A;Collège Saint-Joseph;Skolaj Sant Jozef;8 rue du Château d'eau;8 straed ar C'hastell-dour;29403;LANDIVISIAU CEDEX;LANDIVIZIO CEDEX;29105;02 98 68 11 92;02 98 68 92 40;ce.0291640A@ac-rennes.fr;_;http://www.stjo-landi.fr/;48.51040605445092;-4.066240031786103
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291560N;Ecole publique;Skol bublik;4 rue des Quatre Vents;4 Straed ar Pevar Avel;29620;LANMEUR;LANNEUR;29113;02 98 67 57 20;_;ec.0291560N@ac-rennes.fr;_;_;48.64376240945602;-3.717570213009725
Public;Publik;Collège;Skolaj;29;0290047U;Collège Aux Quatre Vents;Skolaj ar Pevar Avel;7 rue du 19 Mars 1962;7 straed an 19 a viz Meurzh 1962;29620;LANMEUR;LANNEUR;29113;02 98 67 50 43;02 98 78 82 29;ce.0290047u@ac-rennes.fr;_;http://www.college-quatrevents-lanmeur.ac-rennes.fr;48.64241011563726;-3.717649570044504
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291302H;Ecole du Sacré Cœur;Skol ar Galon Sakr;16 rue du Couvent;16 straed ar Gouent;29870;LANNILIS;LANNILIZ;29117;02 98 04 01 93;02 98 04 48 95;ec.0291302H@ac-rennes.fr;ecsacrecoeur@gmail.com;http://ecsacrecoeur-lannilis.fr/;48.56728039606751;-4.5226204054111445
Catholique;Katolik;Collège;Skolaj;29;0291639Z;Collège Saint-Antoine;Skolaj Sant Anton;11 rue Saint-Jean-Baptiste de La Salle - BP 7;11 straed Yann-Vadezour ar Sal - BP 7;29870;LANNILIS;LANNILIZ;29117;02 98 04 00 37;02 98 04 09 50;ce.0291639Z@ac-rennes.fr;college.st.antoine@wanadoo.fr;http://lannilis.lasallefrance.fr;48.57231506591613;-4.518079813974798
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291185F;Ecole Kergroaz;Skol Kergroaz;4 rue de Kergroaz;4 straed Kergroaz;29870;LANNILIS;LANNILIZ;29117;02 98 04 05 35;_;ec.0291185F@ac-rennes.fr;ecole.primaire@lannilis.fr;http://www.ecole-elementaire-kergroas-lannilis.ac-rennes.fr/;48.567624821692554;-4.517900522608096
Public;Publik;Collège;Skolaj;29;0290048V;Collège des Abers;Skolaj bro an Aberioù;2 rue Victor Hugo;2 straed Victor Hugo;29870;LANNILIS;LANNILIZ;29117;02 98 04 01 58;02 98 04 47 69;ce.0290048v@ac-rennes.fr;_;http://www.college-paysdesabers-lannilis.ac-rennes.fr/;48.57358176094791;-4.513889724694035
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292190Y;Skol Diwan ar Faou;Skol Diwan ar Faou;92 rue Penn ar Menez - Rumengol;92 straed Penn ar Menez - Rumengol ;29590;LE FAOU;AR FAOU;29053;02 98 81 98 06;02 98 81 05 82;ec.0292190Y@ac-rennes.fr;diwan.ar.faou@no-log.org;_;48.301665665734646;-4.149659617736771
Diwan;Diwan;Collège;Skolaj;29;0292055B;Skolaj Diwan ar Releg;Skolaj Diwan ar Releg;Rue Gay-Lussac;Straed Gay Lussac;29480;LE RELECQ-KERHUON;AR RELEG -KERHUON;29235;02 98 30 56 83;02 98 28 45 10;ce.0292055B@ac-rennes.fr;diwanreleg@orange.fr;http://skolajdiwanpennarbed.puzl.com/;48.398370710306494;-4.4114295156219985
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290901X;Ecole publique Jules Ferry;Skol bublik Jules Ferry;7 rue Lucie Sanquer Kermadec;7 straed Lucie Sanker Kermadeg;29480;LE RELECQ-KERHUON;AR RELEG -KERHUON;29235;02 98 28 08 96;_;ec.0290901X@ac-rennes.fr;ecolemat.jferry@wanadoo.fr;_;48.40141220092956;-4.415150370029097
